NO,이수구분,AISW마이크로디그리,교양영역,학수번호,분반,개설학년,교과목명,학점,교수명,강의시간(강의실),수업구분,수업방법,팀티칭 유형
201,인성교양,,,0APR1172,06,1,인간과기독교,2,윤상갑,"목3,4(2호관(천안) 205)",주간(천안),대면수업,
202,인성교양,,,0APR1172,07,1,인간과기독교,2,안신영,"목5,6(강석규교육관(아산) 321)",주간,대면수업,
203,인성교양,,,0APR1172,08,1,인간과기독교,2,최성로,"목5,6(강석규교육관(아산) 213)",주간,대면수업,
204,인성교양,,,0APR1172,09,1,인간과기독교,2,안근조,"수3,4(2호관(천안) 101)",주간(천안),대면수업,
205,인성교양,,,0APR1172,10,1,인간과기독교,2,윤상갑,"목1,2(2호관(천안) 102)",주간(천안),대면수업,
206,인성교양,,,0APR1172,11,1,인간과기독교,2,이정학,"목1,2(2호관(천안) 103)",주간(천안),대면수업,
207,인성교양,,,0APR1172,12,1,인간과기독교,2,안신영,"목1,2(강석규교육관(아산) 412)",주간,대면수업,
208,인성교양,,,0APR1172,13,1,인간과기독교,2,안신영,"목3,4(제1공학관(아산) 330)",주간,대면수업,
209,인성교양,,,0APR1172,14,1,인간과기독교,2,최성로,"목3,4(제1공학관(아산) 525)",주간,대면수업,
210,인성교양,,,0APR1172,15,1,인간과기독교,2,양희선,"월1,2(제1공학관(아산) 334)",주간,대면수업,
211,인성교양,,,0APR1172,16,1,인간과기독교,2,이지은,"월1,2(제1공학관(아산) 430)",주간,대면수업,
212,인성교양,,,0APR1172,17,1,인간과기독교,2,양희선,"월3,4(강석규교육관(아산) 213)",주간,대면수업,
213,인성교양,,,0APR1172,18,1,인간과기독교,2,이지은,"월3,4(제1공학관(아산) 430)",주간,대면수업,
214,인성교양,,,0APR1172,19,1,인간과기독교,2,이지은,"월5,6(제1공학관(아산) 333)",주간,대면수업,
215,인성교양,,,0APR1172,20,1,인간과기독교,2,김병석,"월5,6(강석규교육관(아산) 213)",주간,대면수업,
216,인성교양,,,0APR1172,21,1,인간과기독교,2,김병석,"월7,8(제1공학관(아산) 603)",주간,대면수업,
217,인성교양,,,0APR1172,22,1,인간과기독교,2,박희상,"화7,8(강석규교육관(아산) 327)",주간,대면수업,
218,인성교양,,,0APR1172,23,1,인간과기독교,2,백현덕,"화7,8(강석규교육관(아산) 412)",주간,대면수업,
219,인성교양,,,0APR1172,24,1,인간과기독교,2,이영미,"화7,8(제1공학관(아산) 525)",주간,대면수업,
